Team,League,Year,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG,RS
KCR,AL,1995,695,82,0.329,0.412,0.263,0,2,0,162,0.324,0.421,between 711.0 and 775.0
ATL,NL,2001,742,89,0.336,0.441,0.274,1,1,0,162,0.337,0.416,greater than 775.0
PHI,NL,1985,629,79,0.313,0.378,0.251,0,0,0,162,0.315,0.403,between 652.0 and 711.0
TOR,AL,1996,741,85,0.328,0.406,0.265,0,3,0,162,0.322,0.409,between 711.0 and 775.0
ATL,NL,1992,701,83,0.329,0.402,0.262,0,0,0,162,0.326,0.407,between 711.0 and 775.0
KCA,AL,1977,678,76,0.307,0.364,0.245,0,0,0,160,0.312,0.394,between 652.0 and 711.0
WSA,AL,1967,794,59,0.296,0.351,0.231,0,0,0,162,0.306,0.384,less than 652.0
SFG,NL,1991,656,84,0.325,0.384,0.257,0,0,0,162,0.319,0.404,between 652.0 and 711.0
SFG,NL,1986,689,88,0.324,0.388,0.256,1,2,0,162,0.317,0.406,between 652.0 and 711.0
LAD,NL,1981,602,94,0.335,0.403,0.265,1,1,0,162,0.329,0.411,between 711.0 and 775.0
CLE,AL,1994,751,78,0.323,0.395,0.268,0,0,0,162,0.318,0.408,between 711.0 and 775.0
LAD,NL,1969,512,95,0.315,0.365,0.257,1,1,0,162,0.311,0.401,between 652.0 and 711.0
MIL,AL,1990,699,81,0.319,0.382,0.26,0,0,0,162,0.314,0.405,between 652.0 and 711.0
SDP,NL,2002,853,65,0.332,0.394,0.262,0,0,0,162,0.339,0.427,between 652.0 and 711.0
CHC,NL,2006,729,80,0.325,0.444,0.27,0,0,0,162,0.323,0.413,between 711.0 and 775.0
DET,AL,2008,694,96,0.329,0.45,0.274,1,3,0,162,0.321,0.412,greater than 775.0
NYY,AL,1986,727,91,0.337,0.423,0.275,0,0,0,162,0.329,0.414,between 711.0 and 775.0
SFG,NL,2001,764,98,0.362,0.475,0.281,1,1,0,162,0.342,0.418,greater than 775.0
SDP,NL,2005,720,88,0.342,0.422,0.273,0,0,0,162,0.33,0.435,between 711.0 and 775.0
BOS,AL,2009,667,97,0.363,0.446,0.279,1,1,0,162,0.314,0.398,greater than 775.0
KCR,AL,2011,852,66,0.319,0.408,0.261,0,0,0,162,0.341,0.427,between 652.0 and 711.0
CLE,AL,1973,761,62,0.301,0.345,0.24,0,0,0,162,0.312,0.402,less than 652.0
BAL,AL,2007,900,71,0.339,0.426,0.278,0,0,0,162,0.357,0.462,between 711.0 and 775.0
BOS,AL,2013,810,70,0.316,0.418,0.261,0,0,0,162,0.331,0.429,between 711.0 and 775.0
LAD,NL,1972,695,87,0.335,0.383,0.271,0,0,0,162,0.332,0.411,between 711.0 and 775.0
ATL,NL,2006,684,90,0.334,0.437,0.266,1,4,0,162,0.332,0.407,between 711.0 and 775.0
TEX,AL,1999,828,78,0.335,0.441,0.274,0,0,0,162,0.335,0.434,greater than 775.0
ARI,NL,2007,910,52,0.311,0.396,0.255,0,0,0,162,0.35,0.44,less than 652.0
CHW,AL,1983,759,74,0.333,0.414,0.276,0,0,0,162,0.329,0.414,between 711.0 and 775.0
BAL,AL,1980,591,102,0.338,0.423,0.263,1,1,0,162,0.336,0.413,between 711.0 and 775.0
CHW,AL,2002,850,95,0.357,0.473,0.287,1,2,0,162,0.348,0.435,greater than 775.0
OAK,AL,1971,693,89,0.329,0.381,0.252,0,0,0,162,0.319,0.409,between 711.0 and 775.0
