Team,League,Year,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG,RS
ATL,NL,1995,694,85,0.329,0.402,0.259,0,,,162,,,between 711.0 and 775.0
CHW,AL,2009,751,79,0.335,0.421,0.265,0,,,162,0.341,0.429,greater than 775.0
COL,NL,2003,799,76,0.338,0.436,0.269,0,,,162,0.345,0.441,between 711.0 and 775.0
PIT,NL,1988,596,74,0.313,0.372,0.256,0,,,162,,,less than 652.0
NYM,NL,1991,739,91,0.339,0.435,0.267,0,,,162,,,greater than 775.0
PHI,NL,1969,609,86,0.307,0.384,0.253,0,,,162,,,between 652.0 and 711.0
MIN,AL,1967,629,90,0.324,0.429,0.256,0,,,161,,,between 711.0 and 775.0
HOU,NL,1979,735,65,0.319,0.361,0.251,0,,,162,,,between 652.0 and 711.0
MON,NL,1995,781,66,0.312,0.396,0.25,0,,,162,,,less than 652.0
MIL,AL,1985,729,95,0.336,0.457,0.279,1,1.0,2.0,163,,,greater than 775.0
SDP,NL,2013,625,72,0.306,0.351,0.238,0,,,162,0.315,0.379,less than 652.0
PHI,NL,1993,741,78,0.328,0.366,0.256,0,,,162,,,between 652.0 and 711.0
CHC,NL,1996,638,79,0.308,0.366,0.255,0,,,162,,,less than 652.0
SFG,NL,1967,655,88,0.317,0.416,0.259,0,,,162,,,between 711.0 and 775.0
PHI,NL,1986,701,82,0.333,0.408,0.267,0,,,162,,,between 711.0 and 775.0
TBD,AL,2001,919,70,0.343,0.413,0.274,0,,,162,0.372,0.45,between 711.0 and 775.0
CIN,NL,2004,786,79,0.332,0.409,0.254,0,,,162,0.339,0.427,between 652.0 and 711.0
LAA,AL,1965,719,87,0.326,0.382,0.251,0,,,162,,,between 711.0 and 775.0
LAD,NL,2002,740,87,0.342,0.431,0.258,0,,,162,0.333,0.409,greater than 775.0
CIN,NL,2008,812,81,0.337,0.433,0.258,0,,,162,0.338,0.458,between 711.0 and 775.0
BOS,AL,2003,756,83,0.335,0.441,0.267,0,,,161,0.329,0.394,between 711.0 and 775.0
KCR,AL,2000,923,65,0.35,0.435,0.283,0,,,161,0.366,0.455,greater than 775.0
SFG,NL,1977,734,72,0.323,0.36,0.253,0,,,162,,,less than 652.0
PHI,NL,1985,637,90,0.329,0.374,0.25,1,4.0,2.0,163,,,between 652.0 and 711.0
SFG,NL,1989,675,90,0.325,0.431,0.261,1,3.0,3.0,162,,,greater than 775.0
BOS,AL,1989,829,79,0.353,0.431,0.279,0,,,162,,,greater than 775.0
STL,NL,2011,649,92,0.333,0.416,0.264,1,6.0,4.0,162,0.32,0.388,between 711.0 and 775.0
TBD,AL,2006,853,71,0.322,0.406,0.259,0,,,161,0.343,0.439,between 711.0 and 775.0
CHC,NL,1976,832,67,0.328,0.366,0.252,0,,,162,,,between 652.0 and 711.0
TOR,AL,2010,622,87,0.332,0.401,0.265,0,,,162,0.31,0.381,between 711.0 and 775.0
ATL,NL,1998,715,85,0.329,0.403,0.26,0,,,162,,,between 711.0 and 775.0
CHW,AL,2007,755,79,0.336,0.422,0.266,0,,,162,0.342,0.43,greater than 775.0
