Team,League,Year,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG,RS
TBR,AL,2003,693,85,0.329,0.405,0.258,0,,,162,0.321,0.401,between 652.0 and 711.0
STL,NL,1992,739,81,0.338,0.429,0.269,0,,,161,0.34,0.424,greater than 775.0
BOS,AL,1974,709,92,0.342,0.414,0.274,1,3.0,2.0,160,,,greater than 775.0
CIN,NL,2001,794,76,0.326,0.408,0.252,0,,,162,0.335,0.442,between 652.0 and 711.0
LAD,NL,1975,571,96,0.319,0.395,0.261,0,,,162,,,between 711.0 and 775.0
NYY,AL,1984,736,91,0.348,0.433,0.272,0,,,162,,,greater than 775.0
MIN,AL,1973,666,77,0.325,0.381,0.261,0,,,160,,,between 652.0 and 711.0
LAD,NL,1979,585,99,0.34,0.418,0.267,1,4.0,2.0,162,,,between 711.0 and 775.0
MIL,NL,2006,779,84,0.331,0.459,0.263,0,,,162,0.334,0.425,greater than 775.0
CHC,NL,2010,759,73,0.317,0.407,0.258,0,,,162,0.337,0.415,between 652.0 and 711.0
MIL,AL,1997,892,82,0.356,0.444,0.281,0,,,162,,,greater than 775.0
BOS,AL,1968,735,75,0.313,0.386,0.243,0,,,162,,,between 652.0 and 711.0
STL,NL,2004,638,101,0.341,0.426,0.271,1,1.0,3.0,162,0.32,0.402,greater than 775.0
SDP,NL,1987,586,84,0.313,0.355,0.251,0,,,161,,,less than 652.0
CHW,AL,1966,498,90,0.294,0.326,0.228,0,,,162,,,less than 652.0
SFG,NL,1965,691,104,0.343,0.446,0.281,1,1.0,2.0,165,,,greater than 775.0
NYM,NL,1996,710,89,0.335,0.409,0.265,0,,,162,,,greater than 775.0
BAL,AL,1992,748,86,0.349,0.418,0.269,0,,,162,,,greater than 775.0
LAD,NL,1967,577,83,0.308,0.345,0.254,0,,,164,,,less than 652.0
BOS,AL,1977,712,96,0.346,0.422,0.276,1,3.0,2.0,160,,,greater than 775.0
TOR,AL,1992,626,92,0.326,0.405,0.26,1,4.0,3.0,162,,,between 652.0 and 711.0
NYY,AL,2000,734,99,0.369,0.457,0.284,1,3.0,1.0,162,0.331,0.404,greater than 775.0
CHW,AL,1976,706,78,0.335,0.365,0.258,0,,,161,,,between 652.0 and 711.0
PHI,NL,1972,732,76,0.309,0.362,0.242,0,,,161,,,less than 652.0
TOR,AL,1995,743,96,0.354,0.441,0.281,1,3.0,1.0,162,,,greater than 775.0
ATL,NL,1974,702,85,0.318,0.391,0.26,0,,,162,,,less than 652.0
ARI,NL,2010,785,72,0.328,0.423,0.256,0,,,162,0.333,0.422,between 711.0 and 775.0
ATL,NL,2008,735,86,0.341,0.439,0.277,0,,,162,0.329,0.418,greater than 775.0
MLN,NL,1968,636,89,0.315,0.421,0.259,0,,,162,,,between 652.0 and 711.0
CIN,NL,1972,772,91,0.339,0.426,0.279,0,,,163,,,greater than 775.0
TEX,AL,1989,746,88,0.336,0.431,0.269,0,,,162,,,between 711.0 and 775.0
TBR,AL,2009,581,84,0.32,0.394,0.252,0,,,162,0.297,0.358,between 652.0 and 711.0
