Team,League,Year,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG,RS
LAD,NL,1995,693,85,0.321,0.411,0.258,0,,,162,,,between 711.0 and 775.0
DET,AL,2003,761,72,0.329,0.396,0.251,0,,,162,0.325,0.404,between 652.0 and 711.0
PHI,NL,2009,742,93,0.343,0.438,0.276,1,2.0,4.0,162,0.335,0.429,greater than 775.0
MIN,AL,1973,679,82,0.313,0.371,0.252,0,,,162,,,between 652.0 and 711.0
CHC,NL,1996,729,76,0.319,0.393,0.247,0,,,162,,,between 711.0 and 775.0
TOR,AL,1995,784,56,0.294,0.357,0.236,0,,,162,,,less than 652.0
TBR,AL,2010,654,91,0.335,0.409,0.261,0,,,162,0.308,0.381,between 652.0 and 711.0
ATL,NL,1975,694,67,0.306,0.359,0.244,0,,,161,,,less than 652.0
SDP,NL,1985,631,80,0.312,0.362,0.251,0,,,162,,,between 652.0 and 711.0
CIN,NL,2002,856,78,0.341,0.429,0.268,0,,,162,0.336,0.433,greater than 775.0
BOS,AL,1997,751,78,0.322,0.401,0.258,0,,,162,,,between 711.0 and 775.0
NYY,AL,2009,725,103,0.358,0.454,0.283,1,1.0,3.0,162,0.333,0.421,greater than 775.0
CLE,AL,1992,734,76,0.309,0.384,0.247,0,,,162,,,between 652.0 and 711.0
LAA,AL,1982,692,75,0.304,0.357,0.238,0,,,162,,,between 652.0 and 711.0
BAL,AL,1979,666,102,0.342,0.435,0.279,1,3.0,2.0,162,,,greater than 775.0
NYM,NL,2006,698,97,0.337,0.424,0.266,1,2.0,1.0,162,0.328,0.406,greater than 775.0
STL,NL,2001,727,93,0.329,0.405,0.257,0,,,162,,,between 711.0 and 775.0
TEX,AL,1987,756,75,0.307,0.374,0.245,0,,,162,,,between 652.0 and 711.0
PIT,NL,1994,686,79,0.319,0.384,0.253,0,,,162,,,between 652.0 and 711.0
CHW,AL,1981,669,74,0.297,0.346,0.235,0,,,162,,,less than 652.0
MIL,NL,2005,741,81,0.324,0.414,0.256,0,,,162,0.326,0.414,between 711.0 and 775.0
PHI,NL,2008,808,92,0.342,0.437,0.273,1,2.0,4.0,162,0.329,0.423,greater than 775.0
SFG,NL,1990,637,85,0.316,0.38,0.252,0,,,162,,,less than 652.0
FLA,NL,1998,729,54,0.289,0.335,0.226,0,,,162,,,less than 652.0
HOU,NL,2004,694,92,0.336,0.429,0.267,1,3.0,2.0,162,0.325,0.412,greater than 775.0
LAD,NL,1973,599,91,0.313,0.37,0.251,0,,,162,,,between 652.0 and 711.0
SEA,AL,2002,734,93,0.33,0.411,0.261,0,,,162,,,between 711.0 and 775.0
MIN,AL,1966,646,89,0.301,0.358,0.239,0,,,162,,,less than 652.0
DET,AL,1989,697,59,0.292,0.342,0.232,0,,,162,,,less than 652.0
ATL,NL,2003,741,101,0.351,0.446,0.281,1,2.0,3.0,162,0.334,0.428,greater than 775.0
CHC,NL,1984,675,77,0.308,0.365,0.244,0,,,162,,,between 652.0 and 711.0
TOR,AL,1977,684,61,0.297,0.342,0.236,0,,,161,,,less than 652.0
