Team,League,Year,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG,RS
ATL,NL,1985,694,89,0.329,0.401,0.258,0,,,162,0.323,0.405,less than 652.0
CHC,NL,1981,623,77,0.315,0.368,0.247,0,,,162,0.308,0.362,less than 652.0
MIN,AL,1995,781,85,0.337,0.43,0.267,0,,,161,0.324,0.409,between 711.0 and 775.0
LAD,NL,1991,664,93,0.341,0.423,0.279,1,2.0,4.0,162,0.319,0.402,greater than 775.0
KCR,AL,1988,753,84,0.326,0.41,0.259,0,,,161,0.329,0.414,between 711.0 and 775.0
WSN,NL,2007,742,73,0.324,0.394,0.253,0,,,162,0.317,0.386,less than 652.0
PHI,NL,1994,729,84,0.334,0.421,0.265,0,,,162,0.326,0.404,between 711.0 and 775.0
SDP,NL,2000,693,82,0.329,0.403,0.258,0,,,162,0.315,0.394,less than 652.0
NYM,NL,1986,643,87,0.327,0.394,0.255,0,,,162,0.308,0.365,less than 652.0
BOS,AL,1990,748,88,0.339,0.433,0.273,1,3.0,4.0,162,0.321,0.413,greater than 775.0
TEX,AL,1986,794,87,0.335,0.425,0.268,0,,,162,0.324,0.412,between 711.0 and 775.0
TBD,AL,2005,821,67,0.325,0.401,0.256,0,,,161,0.318,0.395,between 711.0 and 775.0
DET,AL,2000,791,79,0.328,0.418,0.262,0,,,161,0.322,0.406,between 711.0 and 775.0
OAK,AL,1999,714,91,0.336,0.428,0.267,0,,,162,0.319,0.401,between 711.0 and 775.0
LAA,AL,2007,754,94,0.342,0.441,0.279,1,4.0,3.0,162,0.325,0.415,greater than 775.0
STL,NL,2004,718,96,0.34,0.444,0.275,1,1.0,2.0,162,0.324,0.412,greater than 775.0
SEA,AL,2002,692,93,0.338,0.424,0.268,0,,,162,0.314,0.402,between 711.0 and 775.0
ARI,NL,2001,784,92,0.335,0.433,0.269,1,5.0,4.0,162,0.32,0.408,greater than 775.0
MIL,NL,1996,756,80,0.329,0.407,0.261,0,,,162,0.316,0.394,between 711.0 and 775.0
CHW,AL,1992,824,86,0.337,0.439,0.273,1,2.0,3.0,162,0.323,0.415,greater than 775.0
HOU,NL,1999,748,97,0.346,0.456,0.285,1,4.0,1.0,162,0.329,0.424,greater than 775.0
ATL,NL,1987,694,90,0.329,0.403,0.259,0,,,162,0.313,0.396,less than 652.0
BAL,AL,2006,795,70,0.325,0.415,0.261,0,,,161,0.318,0.401,between 711.0 and 775.0
WSA,AL,1969,697,75,0.307,0.365,0.243,0,,,162,0.299,0.357,less than 652.0
WSN,NL,2008,684,59,0.313,0.377,0.247,0,,,162,0.304,0.362,less than 652.0
PIT,NL,1993,649,87,0.326,0.403,0.258,0,,,162,0.311,0.384,less than 652.0
MIN,AL,1977,692,84,0.328,0.401,0.257,0,,,162,0.314,0.394,less than 652.0
SDP,NL,2003,664,98,0.341,0.438,0.278,1,5.0,2.0,162,0.324,0.414,greater than 775.0
