Team,League,Year,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG,RS
MIL,NL,2001,694,89,0.329,0.423,0.269,0,,,162,0.329,0.411,between 711.0 and 775.0
SFG,NL,1975,748,85,0.335,0.439,0.273,0,,,164,0.325,0.406,greater than 775.0
BOS,AL,1985,742,79,0.316,0.401,0.253,0,,,161,0.328,0.415,between 711.0 and 775.0
ATL,NL,2003,738,91,0.342,0.446,0.276,1,1.0,2.0,162,0.327,0.414,greater than 775.0
STL,NL,1992,684,86,0.329,0.416,0.265,0,,,162,0.322,0.408,between 711.0 and 775.0
SDP,NL,1995,719,80,0.324,0.395,0.259,0,,,163,0.329,0.402,between 652.0 and 711.0
LAD,NL,1982,747,88,0.336,0.433,0.274,0,,,163,0.326,0.412,greater than 775.0
STL,NL,2009,768,87,0.341,0.445,0.277,1,2.0,3.0,162,0.324,0.416,greater than 775.0
NYM,NL,1993,729,84,0.333,0.415,0.271,0,,,162,0.329,0.408,between 711.0 and 775.0
PHI,NL,1973,697,78,0.313,0.386,0.251,0,,,161,0.324,0.401,between 652.0 and 711.0
CHC,NL,2006,779,85,0.337,0.439,0.275,0,,,162,0.329,0.413,greater than 775.0
ATL,NL,1979,739,89,0.34,0.429,0.276,0,,,162,0.329,0.407,greater than 775.0
ARI,NL,2010,794,82,0.329,0.422,0.267,0,,,162,0.325,0.409,between 711.0 and 775.0
LAD,NL,1988,755,91,0.343,0.451,0.279,1,2.0,2.0,163,0.327,0.416,greater than 775.0
LAD,NL,1971,709,80,0.327,0.404,0.261,0,,,162,0.324,0.406,between 652.0 and 711.0
TEX,AL,1999,785,83,0.328,0.418,0.265,0,,,162,0.329,0.408,between 711.0 and 775.0
