Team,League,Year,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG,RS
BOS,AL,2005,754,91,0.342,0.425,0.273,1,2.0,4.0,162,0.326,0.409,greater than 775.0
CAL,AL,1989,729,85,0.329,0.395,0.257,0,,,162,,,between 711.0 and 775.0
HOU,NL,1979,692,80,0.323,0.369,0.253,0,,,162,,,between 652.0 and 711.0
CIN,NL,1987,745,76,0.318,0.364,0.249,0,,,162,,,less than 652.0
SDP,NL,2013,625,74,0.307,0.354,0.238,0,,,162,0.315,0.379,less than 652.0
NYY,AL,1988,695,90,0.335,0.407,0.275,0,,,162,,,between 711.0 and 775.0
MIL,AL,1981,739,94,0.333,0.459,0.279,1,1.0,2.0,163,,,greater than 775.0
MIN,AL,1969,613,92,0.327,0.433,0.256,0,,,161,,,between 711.0 and 775.0
PHI,NL,1966,587,88,0.308,0.384,0.253,0,,,162,,,less than 652.0
FLA,NL,1995,719,82,0.329,0.397,0.259,0,,,162,,,between 652.0 and 711.0
CAL,AL,1973,669,70,0.322,0.359,0.255,0,,,163,,,less than 652.0
PIT,NL,1989,574,76,0.312,0.366,0.256,0,,,162,,,less than 652.0
CIN,NL,2003,771,79,0.339,0.405,0.263,0,,,162,,,between 711.0 and 775.0
PHI,NL,1992,736,78,0.329,0.366,0.256,0,,,162,,,less than 652.0
CAL,AL,1968,584,76,0.299,0.345,0.241,0,,,162,,,less than 652.0
TOR,AL,1984,598,100,0.332,0.429,0.27,1,2.0,3.0,161,,,between 711.0 and 775.0
LAA,AL,1965,716,87,0.327,0.383,0.252,0,,,162,,,between 711.0 and 775.0
CHW,AL,1993,693,88,0.338,0.396,0.264,0,,,162,,,between 711.0 and 775.0
BOS,AL,1997,700,82,0.331,0.399,0.265,0,,,162,,,between 652.0 and 711.0
COL,NL,2008,823,78,0.343,0.436,0.271,0,,,162,0.348,0.441,between 711.0 and 775.0
TOR,AL,2010,611,86,0.332,0.401,0.265,0,,,162,0.311,0.382,between 711.0 and 775.0
TEX,AL,2014,709,94,0.335,0.449,0.274,1,5.0,5.0,162,0.312,0.411,greater than 775.0
MON,NL,2000,794,67,0.313,0.397,0.251,0,,,162,,,less than 652.0
MIL,AL,1976,743,75,0.327,0.391,0.255,0,,,162,,,between 652.0 and 711.0
CHC,NL,1978,838,67,0.329,0.369,0.253,0,,,162,,,between 652.0 and 711.0
ANA,AL,2002,880,84,0.355,0.475,0.282,0,,,162,0.354,0.457,greater than 775.0
MIN,AL,2012,806,65,0.309,0.365,0.249,0,,,162,0.342,0.439,less than 652.0
CAL,AL,1970,600,85,0.303,0.353,0.24,0,,,161,,,less than 652.0
SFG,NL,1977,733,73,0.324,0.363,0.253,0,,,162,,,less than 652.0
NYM,NL,1990,709,92,0.341,0.438,0.27,0,,,162,,,greater than 775.0
DET,AL,1986,691,92,0.338,0.435,0.275,0,,,162,,,greater than 775.0
NYM,NL,1973,508,75,0.284,0.319,0.229,0,,,163,,,less than 652.0
ATL,NL,1985,715,90,0.328,0.388,0.258,1,4.0,3.0,162,,,between 711.0 and 775.0
CIN,NL,2009,812,82,0.339,0.435,0.259,0,,,162,0.34,0.461,between 711.0 and 775.0
CIN,NL,2005,785,79,0.333,0.411,0.255,0,,,162,0.339,0.429,between 652.0 and 711.0
CHW,AL,2006,845,85,0.335,0.463,0.27,0,,,162,0.34,0.457,greater than 775.0
