Team,League,Year,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG,RS
BAL,AL,1994,694,78,0.326,0.394,0.258,0,,,162,0.329,0.413,between 652.0 and 711.0
WSN,NL,2009,743,59,0.308,0.351,0.242,0,,,160,0.339,0.421,less than 652.0
LAD,NL,1983,584,95,0.335,0.401,0.264,1,2.0,2.0,162,,,between 711.0 and 775.0
CAL,AL,1967,642,70,0.297,0.324,0.231,0,,,162,,,less than 652.0
MIL,AL,1991,702,81,0.319,0.384,0.262,0,,,162,,,between 652.0 and 711.0
PHI,NL,1980,722,84,0.329,0.409,0.268,0,,,162,,,between 711.0 and 775.0
LAD,NL,1962,506,95,0.316,0.364,0.258,1,2.0,2.0,162,,,less than 652.0
SFG,NL,1981,711,87,0.327,0.378,0.257,0,,,162,,,between 652.0 and 711.0
SFG,NL,1973,684,82,0.329,0.368,0.262,0,,,161,,,between 652.0 and 711.0
SDP,NL,1988,645,89,0.32,0.372,0.253,0,,,162,,,less than 652.0
PHI,NL,2001,729,87,0.342,0.422,0.264,0,,,162,0.325,0.403,greater than 775.0
KCA,AL,1970,684,74,0.297,0.344,0.239,0,,,160,,,less than 652.0
OAK,AL,1986,819,84,0.333,0.431,0.262,0,,,162,,,greater than 775.0
SDP,NL,2002,854,65,0.329,0.394,0.265,0,,,162,0.335,0.439,between 652.0 and 711.0
LAD,NL,1968,577,85,0.318,0.364,0.257,0,,,162,,,less than 652.0
CLE,AL,1996,838,86,0.358,0.469,0.287,1,6.0,2.0,161,,,greater than 775.0
BOS,AL,2004,677,96,0.363,0.445,0.281,1,1.0,1.0,162,0.313,0.396,greater than 775.0
TOR,AL,1993,676,86,0.329,0.421,0.268,0,,,162,,,between 711.0 and 775.0
CHC,NL,1983,802,73,0.321,0.403,0.258,0,,,160,,,between 652.0 and 711.0
ATL,NL,1978,580,88,0.322,0.369,0.252,0,,,163,,,between 652.0 and 711.0
OAK,AL,1966,706,88,0.329,0.384,0.253,0,,,162,,,between 711.0 and 775.0
LAA,AL,2008,716,80,0.313,0.395,0.253,0,,,162,0.323,0.409,between 652.0 and 711.0
CLE,AL,1992,761,79,0.326,0.398,0.269,0,,,162,,,between 711.0 and 775.0
CHC,NL,1987,754,79,0.325,0.399,0.257,0,,,162,,,between 652.0 and 711.0
CHW,AL,1999,869,95,0.357,0.473,0.289,1,2.0,4.0,162,0.34,0.436,greater than 775.0
SDP,NL,1969,813,65,0.314,0.395,0.251,0,,,162,,,between 652.0 and 711.0
CHC,NL,1995,794,77,0.323,0.406,0.255,0,,,162,,,between 711.0 and 775.0
CLE,AL,2009,868,69,0.325,0.386,0.253,0,,,162,0.332,0.429,between 652.0 and 711.0
LAD,NL,1972,706,87,0.335,0.388,0.273,0,,,161,,,between 711.0 and 775.0
WSA,AL,1961,841,56,0.296,0.357,0.232,0,,,162,,,less than 652.0
CLE,AL,2005,725,96,0.346,0.433,0.272,1,1.0,3.0,162,0.323,0.414,greater than 775.0
SEA,AL,1996,852,90,0.358,0.493,0.284,1,5.0,4.0,162,,,greater than 775.0
ATL,NL,1972,797,79,0.34,0.435,0.269,0,,,162,,,greater than 775.0
CLE,AL,1969,769,60,0.304,0.348,0.242,0,,,162,,,less than 652.0
SDP,NL,2001,729,87,0.344,0.419,0.275,0,,,162,0.324,0.434,between 711.0 and 775.0
PHI,NL,1964,600,87,0.311,0.386,0.257,0,,,162,,,less than 652.0
CAL,AL,1990,665,81,0.315,0.378,0.258,0,,,162,,,between 652.0 and 711.0
CHC,NL,2003,735,79,0.327,0.445,0.273,0,,,162,0.322,0.414,between 652.0 and 711.0
CLE,AL,2006,769,69,0.323,0.382,0.251,0,,,162,0.339,0.42,less than 652.0
NYM,NL,1969,654,83,0.333,0.373,0.254,0,,,162,,,between 652.0 and 711.0
TEX,AL,1983,732,71,0.315,0.384,0.265,0,,,161,,,between 652.0 and 711.0
DET,AL,1999,892,55,0.305,0.386,0.253,0,,,161,0.342,0.463,less than 652.0
KCR,AL,1980,711,84,0.321,0.404,0.273,1,4.0,3.0,162,,,between 652.0 and 711.0
SFG,NL,1991,656,103,0.343,0.433,0.28,0,,,162,,,greater than 775.0
CLE,AL,1983,792,75,0.336,0.394,0.269,0,,,163,,,between 711.0 and 775.0
NYY,AL,1982,724,91,0.34,0.422,0.278,0,,,162,,,between 711.0 and 775.0
KCR,AL,2006,876,65,0.321,0.412,0.264,0,,,162,0.339,0.431,between 652.0 and 711.0
SFG,NL,1998,763,97,0.365,0.476,0.283,1,1.0,4.0,162,0.343,0.418,greater than 775.0
MIL,AL,1977,746,95,0.348,0.453,0.285,0,,,161,,,greater than 775.0
BOS,AL,1963,816,72,0.324,0.423,0.262,0,,,162,,,between 652.0 and 711.0
COL,NL,2002,943,68,0.348,0.463,0.281,0,,,162,0.369,0.482,greater than 775.0
