Team,League,Year,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG,RS
CHC,NL,1985,694,82,0.329,0.401,0.258,0,,,162,,,between 711.0 and 775.0
LAD,NL,2001,741,85,0.343,0.417,0.272,0,,,162,0.331,0.409,between 652.0 and 711.0
KCA,AL,1971,683,78,0.315,0.368,0.251,0,,,162,,,between 652.0 and 711.0
ATL,NL,1993,748,81,0.336,0.423,0.269,0,,,162,,,between 711.0 and 775.0
MIL,AL,1987,722,80,0.325,0.385,0.261,0,,,162,,,between 652.0 and 711.0
SFG,NL,1995,758,88,0.348,0.446,0.276,1,1.0,2.0,162,0.339,0.421,greater than 775.0
TEX,AL,1999,794,79,0.329,0.403,0.265,0,,,162,,,between 711.0 and 775.0
OAK,AL,1975,659,80,0.317,0.373,0.249,0,,,162,,,between 652.0 and 711.0
CLE,AL,1992,735,77,0.323,0.388,0.264,0,,,162,,,between 652.0 and 711.0
CHW,AL,1981,701,75,0.313,0.365,0.247,0,,,160,,,between 652.0 and 711.0
ARI,NL,2006,863,66,0.317,0.381,0.253,0,,,162,0.346,0.429,less than 652.0
NYY,AL,1988,727,85,0.335,0.415,0.271,0,,,162,,,between 711.0 and 775.0
BOS,AL,2004,689,94,0.354,0.445,0.281,1,1.0,3.0,162,0.316,0.399,greater than 775.0
SDP,NL,2002,808,63,0.321,0.379,0.258,0,,,162,0.34,0.435,between 652.0 and 711.0
ATL,NL,1977,689,83,0.329,0.396,0.261,0,,,162,,,between 711.0 and 775.0
LAD,NL,1991,706,81,0.326,0.391,0.262,0,,,162,,,between 652.0 and 711.0
