Team,League,Year,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG,RS
CHC,NL,1992,694,82,0.336,0.414,0.268,0,,,162,0.329,0.409,between 652.0 and 711.0
PHI,NL,2009,759,89,0.342,0.429,0.274,0,,,162,0.335,0.438,between 711.0 and 775.0
OAK,AL,1989,783,64,0.325,0.382,0.258,0,,,162,0.329,0.398,between 652.0 and 711.0
LAD,NL,1983,649,87,0.329,0.401,0.265,0,,,162,0.326,0.406,between 652.0 and 711.0
BOS,AL,2002,742,93,0.355,0.457,0.286,0,,,162,0.341,0.446,greater than 775.0
SDP,NL,2001,656,82,0.327,0.384,0.255,0,,,162,0.322,0.395,between 652.0 and 711.0
CLE,AL,1996,784,99,0.357,0.46,0.291,0,,,162,0.348,0.456,greater than 775.0
HOU,NL,2007,717,77,0.328,0.408,0.258,0,,,162,0.324,0.399,between 652.0 and 711.0
KCR,AL,1988,751,77,0.324,0.403,0.254,0,,,162,0.329,0.41,between 652.0 and 711.0
PIT,NL,1974,648,92,0.335,0.414,0.265,0,,,162,0.329,0.411,between 711.0 and 775.0
TOR,AL,2006,783,87,0.342,0.429,0.278,0,,,162,0.34,0.437,between 711.0 and 775.0
ATL,NL,1994,702,90,0.33,0.406,0.262,0,,,162,0.325,0.412,between 652.0 and 711.0
CHW,AL,1995,744,71,0.319,0.386,0.246,0,,,162,0.327,0.396,between 652.0 and 711.0
NYM,NL,2005,655,83,0.329,0.392,0.255,0,,,162,0.324,0.402,between 652.0 and 711.0
COL,NL,1999,795,77,0.328,0.403,0.257,0,,,162,0.329,0.414,between 652.0 and 711.0
WSN,NL,2008,733,59,0.313,0.365,0.242,0,,,162,0.319,0.387,less than 652.0
TEX,AL,1985,734,74,0.324,0.403,0.253,0,,,162,0.329,0.408,between 652.0 and 711.0
MIN,AL,1976,693,81,0.329,0.391,0.258,0,,,162,0.326,0.401,between 652.0 and 711.0
ARI,NL,2002,693,92,0.342,0.43,0.282,0,,,162,0.335,0.432,greater than 775.0
BAL,AL,1998,784,85,0.339,0.438,0.276,0,,,162,0.346,0.445,between 711.0 and 775.0
CHC,NL,1972,626,85,0.313,0.365,0.247,0,,,162,0.317,0.384,less than 652.0
SFG,NL,1980,623,86,0.326,0.374,0.253,0,,,162,0.322,0.391,between 652.0 and 711.0
OAK,AL,1991,699,81,0.329,0.399,0.259,0,,,162,0.325,0.406,between 652.0 and 711.0
KCR,AL,2004,828,83,0.335,0.421,0.271,0,,,162,0.339,0.428,between 711.0 and 775.0
BOS,AL,1978,690,93,0.337,0.424,0.274,0,,,162,0.33,0.414,greater than 775.0
LAD,NL,2005,695,97,0.355,0.453,0.294,0,,,162,0.346,0.447,greater than 775.0
CLE,AL,1993,716,86,0.333,0.411,0.265,0,,,162,0.328,0.404,between 652.0 and 711.0
HOU,NL,2000,743,72,0.319,0.385,0.249,0,,,162,0.323,0.395,between 652.0 and 711.0
PHI,NL,1982,688,86,0.329,0.403,0.258,0,,,162,0.326,0.402,between 652.0 and 711.0
WSA,AL,1967,655,76,0.298,0.348,0.233,0,,,162,0.313,0.382,less than 652.0
MIL,AL,1992,715,79,0.329,0.395,0.258,0,,,162,0.324,0.403,between 652.0 and 711.0
ATL,NL,1989,722,81,0.328,0.402,0.255,0,,,162,0.325,0.406,between 652.0 and 711.0
SFG,NL,1995,654,80,0.329,0.386,0.256,0,,,162,0.324,0.399,between 652.0 and 711.0
LAD,NL,2006,714,88,0.337,0.419,0.273,0,,,162,0.332,0.421,between 711.0 and 775.0
TOR,AL,1986,777,86,0.335,0.415,0.271,0,,,162,0.329,0.408,greater than 775.0
OAK,AL,2008,736,75,0.319,0.377,0.245,0,,,162,0.323,0.393,less than 652.0
CHW,AL,1997,709,74,0.313,0.364,0.238,0,,,162,0.319,0.385,between 652.0 and 711.0
SEA,AL,2004,690,63,0.306,0.353,0.236,0,,,162,0.313,0.379,less than 652.0
ARI,NL,2000,802,85,0.338,0.432,0.277,0,,,162,0.334,0.424,greater than 775.0
BAL,AL,1993,741,85,0.329,0.403,0.258,0,,,162,0.325,0.404,between 652.0 and 711.0
KCR,AL,1999,764,78,0.324,0.385,0.252,0,,,162,0.328,0.396,between 652.0 and 711.0
NYM,NL,2001,678,82,0.326,0.382,0.253,0,,,162,0.323,0.395,between 652.0 and 711.0
BOS,AL,2009,740,86,0.336,0.418,0.27,0,,,162,0.332,0.414,between 711.0 and 775.0
CHC,NL,2003,689,88,0.329,0.399,0.258,0,,,162,0.325,0.406,between 652.0 and 711.0
CLE,AL,1991,760,84,0.333,0.408,0.265,0,,,162,0.329,0.404,between 652.0 and 711.0
HOU,NL,1998,694,78,0.322,0.384,0.247,0,,,162,0.319,0.391,between 652.0 and 711.0
LAD,NL,1996,662,90,0.337,0.412,0.274,0,,,162,0.33,0.414,between 711.0 and 775.0
PHI,NL,1980,670,79,0.325,0.381,0.251,0,,,162,0.321,0.393,between 652.0 and 711.0
SFG,NL,1988,631,95,0.334,0.409,0.264,0,,,162,0.329,0.412,between 711.0 and 775.0
TEX,AL,2003,756,71,0.316,0.372,0.239,0,,,162,0.322,0.385,between 652.0 and 711.0
WSN,NL,2007,735,73,0.319,0.383,0.246,0,,,162,0.323,0.391,between 652.0 and 711.0
MIN,AL,1984,708,83,0.329,0.396,0.256,0,,,162,0.325,0.403,between 652.0 and 711.0
ATL,NL,2006,760,79,0.328,0.398,0.253,0,,,162,0.324,0.404,between 652.0 and 711.0
MIL,AL,1990,687,82,0.326,0.392,0.253,0,,,162,0.322,0.395,between 652.0 and 711.0
ARI,NL,2006,819,76,0.324,0.399,0.249,0,,,162,0.328,0.404,between 652.0 and 711.0
BAL,AL,1987,695,81,0.325,0.386,0.253,0,,,162,0.32,0.396,between 652.0 and 711.0
KCR,AL,2002,753,83,0.329,0.395,0.255,0,,,162,0.325,0.404,between 652.0 and 711.0
OAK,AL,1994,732,83,0.329,0.401,0.258,0,,,162,0.325,0.403,between 652.0 and 711.0
CHW,AL,2005,760,85,0.335,0.414,0.266,0,,,162,0.33,0.411,between 711.0 and 775.0
SEA,AL,2007,749,88,0.336,0.421,0.275,0,,,162,0.332,0.416,between 711.0 and 775.0
NYM,NL,2003,670,86,0.328,0.394,0.254,0,,,162,0.325,0.4,between 652.0 and 711.0
BOS,AL,1995,747,86,0.335,0.415,0.273,0,,,162,0.33,0.414,between 711.0 and 775.0
CHC,NL,2002,689,92,0.338,0.426,0.278,0,,,162,0.333,0.422,greater than 775.0
CLE,AL,1997,753,90,0.337,0.429,0.276,0,,,162,0.332,0.418,greater than 775.0
HOU,NL,2005,675,83,0.329,0.396,0.258,0,,,162,0.326,0.403,between 652.0 and 711.0
LAD,NL,2008,714,95,0.34,0.435,0.285,0,,,162,0.335,0.428,greater than 775.0
PHI,NL,2006,745,89,0.339,0.428,0.279,0,,,162,0.334,0.425,between 711.0 and 775.0
SFG,NL,1993,619,85,0.327,0.386,0.253,0,,,162,0.323,0.397,between 652.0 and 711.0
ATL,NL,1987,694,81,0.324,0.401,0.258,0,,,162,,,between 711.0 and 775.0
ARI,NL,2008,735,82,0.329,0.416,0.265,0,,,162,0.335,0.443,between 711.0 and 775.0
TOR,AL,1999,703,85,0.326,0.394,0.251,0,,,162,0.328,0.414,between 652.0 and 711.0
SDP,NL,2004,761,79,0.329,0.388,0.246,0,,,162,0.329,0.423,between 711.0 and 775.0
DET,AL,1981,662,83,0.322,0.384,0.259,0,,,161,,,between 652.0 and 711.0
CAL,AL,1972,699,74,0.314,0.373,0.249,0,,,162,,,between 652.0 and 711.0
STL,NL,1967,669,84,0.319,0.369,0.252,0,,,162,,,between 652.0 and 711.0
NYM,NL,1976,583,86,0.321,0.362,0.244,0,,,162,,,between 652.0 and 711.0
MON,NL,2002,727,83,0.325,0.399,0.253,0,,,162,0.325,0.406,between 711.0 and 775.0
OAK,AL,1971,629,87,0.324,0.386,0.255,0,,,162,,,between 652.0 and 711.0
PHI,NL,2007,825,89,0.342,0.446,0.269,1,2.0,3.0,162,0.337,0.459,greater than 775.0
DET,AL,1978,739,84,0.329,0.404,0.268,0,,,161,,,between 711.0 and 775.0
OAK,AL,1974,664,90,0.335,0.406,0.263,1,2.0,4.0,162,,,between 711.0 and 775.0
SDP,NL,1975,766,74,0.319,0.379,0.247,0,,,162,,,between 652.0 and 711.0
TBD,AL,2000,869,69,0.319,0.386,0.248,0,,,162,0.329,0.435,less than 652.0
BOS,AL,2004,655,98,0.351,0.441,0.281,1,1.0,2.0,162,0.319,0.406,greater than 775.0
TOR,AL,1991,692,86,0.325,0.395,0.263,0,,,162,,,between 711.0 and 775.0
STL,NL,1966,693,83,0.317,0.364,0.253,0,,,162,,,between 652.0 and 711.0
NYM,NL,1973,564,82,0.318,0.357,0.245,0,,,162,,,between 652.0 and 711.0
