Team,League,Year,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG,RS
CHC,NL,2001,679,85,0.321,0.399,0.258,0,,,162,,,between 711.0 and 775.0
MON,NL,1989,752,79,0.329,0.394,0.263,0,,,162,,,less than 652.0
HOU,NL,1978,693,81,0.335,0.411,0.268,0,,,162,,,between 711.0 and 775.0
STL,NL,1995,661,76,0.313,0.368,0.251,0,,,162,,,less than 652.0
ATL,NL,1981,720,89,0.328,0.401,0.262,1,4.0,3.0,162,,,between 711.0 and 775.0
COL,NL,2004,832,77,0.342,0.435,0.271,0,,,162,0.348,0.439,greater than 775.0
PIT,NL,1985,582,74,0.308,0.362,0.253,0,,,162,,,less than 652.0
TBD,AL,2000,918,68,0.341,0.409,0.272,0,,,162,0.369,0.448,between 711.0 and 775.0
PHI,NL,1991,737,80,0.326,0.366,0.256,0,,,162,,,less than 652.0
SFG,NL,1988,671,92,0.327,0.433,0.261,1,3.0,3.0,162,,,greater than 775.0
MIN,AL,1964,607,90,0.324,0.429,0.254,0,,,161,,,between 711.0 and 775.0
LAA,AL,1963,710,85,0.323,0.381,0.25,0,,,162,,,between 711.0 and 775.0
TOR,AL,2009,614,87,0.333,0.402,0.265,0,,,162,0.311,0.383,between 711.0 and 775.0
BOS,AL,1988,831,79,0.351,0.43,0.278,0,,,162,,,greater than 775.0
CHC,NL,1993,640,78,0.306,0.365,0.254,0,,,162,,,less than 652.0
MON,NL,1999,780,66,0.31,0.392,0.249,0,,,162,,,less than 652.0
