lever_position,ship_speed,gas_turbine_shaft_torque,gas_turbine_rate_of_revolutions,gas_generator_rate_of_revolutions,starboard_propeller_torque,port_propeller_torque,hp_turbine_exit_temperature,gt_compressor_outlet_air_temperature,hp_turbine_exit_pressure,gt_compressor_outlet_air_pressure,gas_turbine_exhaust_gas_pressure,turbine_injecton_control,fuel_flow,gt_compressor_decay_state_coefficient
5.14,15,21636.889,1924.319,8497.393,175.297,175.297,725.433,644.213,2.078,11.142,1.026,26.042,0.515,less than 0.962
2.088,6,3635.558,1347.189,6852.338,22.84,22.84,532.623,563.929,1.221,6.535,1.019,20.332,0.177,less than 0.962
9.3,27,72760.007,3560.361,9737.681,644.77,644.77,1071.214,775.449,4.54,22.971,1.051,89.352,1.769,between 0.975 and 0.988
3.144,9,8377.158,1386.746,7080.796,60.336,60.336,585.123,580.274,1.39,7.505,1.02,12.274,0.243,between 0.975 and 0.988
1.138,3,5857.753,1320.913,6696.907,6.026,6.026,636.612,573.428,1.278,6.926,1.019,30.344,0.303,less than 0.962
9.3,27,72772.009,3560.427,9784.295,644.797,644.797,1101.549,786.287,4.487,22.503,1.049,91.049,1.802,less than 0.962
5.14,15,21632.356,1924.334,8488.962,175.26,175.26,703.221,637.059,2.081,11.037,1.026,24.894,0.493,between 0.962 and 0.975
4.161,12,14721.441,1547.459,7761.558,113.772,113.772,639.712,606.638,1.66,8.921,1.023,17.157,0.34,between 0.962 and 0.975
3.144,9,8377.453,1386.748,7084.073,60.338,60.338,591.025,582.148,1.39,7.532,1.02,12.509,0.248,between 0.962 and 0.975
9.3,27,72764.009,3560.383,9737.323,644.733,644.733,1058.607,772.282,4.539,22.819,1.051,88.15,1.745,greater than 0.988
9.3,27,72771.461,3560.421,9786.262,644.815,644.815,1106.85,787.691,4.485,22.538,1.049,91.496,1.811,less than 0.962
8.206,24,50992.698,3087.422,9304.599,438.093,438.093,932.215,733.289,3.592,18.652,1.041,61.17,1.211,between 0.975 and 0.988
8.206,24,50990.573,3087.337,9303.329,437.971,437.971,935.459,733.801,3.594,18.715,1.041,61.471,1.217,between 0.975 and 0.988
8.206,24,50994.731,3087.557,9326.393,438.039,438.039,927.925,737.805,3.557,18.152,1.041,60.2,1.192,less than 0.962
6.175,18,29761.422,2306.781,8804.609,245.918,245.918,780.957,668.851,2.509,13.331,1.03,34.701,0.687,between 0.975 and 0.988
5.14,15,21625.168,1924.339,8470.06,175.259,175.259,684.476,629.766,2.087,11.009,1.027,23.958,0.474,greater than 0.988
