cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age,strength
279.40863,20.857805,-0.096507385,191.44118,-0.0065069282,951.09424,729.5783,4.055081,less than 23.707115153
296.66782,198.3625,-0.26120406,214.51581,2.0774853,1031.6107,822.3776,273.79028,greater than 46.13628654
472.4867,296.4008,-1.9614896,156.84753,12.264439,873.69415,843.80884,109.40065,between 23.707115153 and 34.44277358
538.8914,127.78074,-0.026632084,190.3575,4.1781907,866.35,811.2914,27.530525,between 34.44277358 and 46.13628654
199.66025,111.74869,98.02684,221.36,0.85211027,888.5677,695.5796,85.22767,between 34.44277358 and 46.13628654
306.05258,121.87542,0.20335189,182.95589,7.1669397,925.4108,766.37177,87.48579,between 34.44277358 and 46.13628654
279.80325,132.2405,-0.1864807,174.68277,2.9729342,996.0562,796.54584,7.883835,less than 23.707115153
208.98688,121.69394,0.52865505,171.81213,7.562954,982.487,801.80524,13.573932,less than 23.707115153
343.9771,31.055876,0.7326159,175.84763,11.518116,884.3706,821.6324,79.0184,greater than 46.13628654
233.39778,290.50858,0.06978676,151.41084,5.26983,1031.1766,516.57043,66.92538,greater than 46.13628654
126.49094,13.769771,167.78708,159.98871,3.55895,1158.2001,806.27185,26.775307,between 23.707115153 and 34.44277358
252.34657,0.85171694,123.540405,217.85814,0.29496345,945.1032,713.9347,55.5166,between 34.44277358 and 46.13628654
276.3871,148.27034,0.19824375,188.20633,6.3444247,924.5853,834.0358,27.725996,between 23.707115153 and 34.44277358
285.0221,24.225164,0.31150824,149.45628,8.140062,950.6335,830.26,93.07705,between 34.44277358 and 46.13628654
189.6647,-1.4099386,1.3686438,220.76057,0.04604888,898.9137,713.9905,202.46704,between 23.707115153 and 34.44277358
211.6893,1.184476,167.67114,202.42,0.62625825,976.3477,745.39044,4.489953,less than 23.707115153
