carat,cut,color,clarity,depth,table,x,y,z,price
0.41748852,Premium,I,SI1,61.891968,56.156063,4.7404056,4.7212214,2.9582977,less than 950.0
0.020872394,Good,D,VS1,63.348885,60.06133,4.5510025,14.935526,2.7820725,less than 950.0
1.4562603,Premium,J,IF,61.678967,56.973225,7.3349333,7.1939287,4.5275626,greater than 5324.25
0.74723864,Ideal,G,VS2,61.520905,55.98737,5.8612804,5.941134,3.5778935,between 2401.0 and 5324.25
0.3107225,Good,G,VVS2,62.491703,55.406376,4.326881,4.339637,2.742438,between 950.0 and 2401.0
0.35677412,Good,E,SI1,62.806137,59.92108,4.566736,4.665279,2.8237722,less than 950.0
1.559037,Ideal,E,SI2,62.161297,56.0112,7.468908,7.4348445,4.5907297,between 2401.0 and 5324.25
1.307048,Premium,F,VS1,61.078255,59.966473,7.413745,7.3875694,4.2718067,between 950.0 and 2401.0
0.4580172,Premium,E,SI1,62.546684,58.02508,4.9131813,4.958037,3.0691214,less than 950.0
1.767417,Very Good,J,IF,61.20719,56.99237,7.6533103,7.5831695,4.8350205,greater than 5324.25
0.80581766,Premium,D,IF,61.157722,58.019947,5.9859667,6.002756,3.6567454,between 950.0 and 2401.0
1.7853979,Premium,H,SI2,61.156185,56.002377,7.844143,7.7593746,4.8994284,greater than 5324.25
0.29429382,Very Good,I,VS1,62.280113,57.031223,4.212567,4.2097263,2.693021,less than 950.0
-0.32823446,Good,D,SI1,63.47461,57.94133,4.580817,4.6242857,1.5093553,greater than 5324.25
0.64133286,Ideal,E,IF,62.322887,56.994946,5.4799056,5.4964776,3.3909445,between 950.0 and 2401.0
0.53556496,Premium,H,SI1,63.533745,54.891968,5.2574773,5.227814,3.2222166,between 950.0 and 2401.0
