carat,cut,color,clarity,depth,table,x,y,z,price
1.1454262,Ideal,G,VS2,63.777378,59.95247,6.632083,6.6537304,4.22123,between 2401.0 and 5324.25
0.34506643,Good,G,SI2,61.53325,60.963383,4.4818335,4.4838896,2.7621737,less than 950.0
1.1878928,Very Good,I,VS2,62.174335,60.11998,6.8041487,6.7535243,4.209978,greater than 5324.25
0.38196984,Fair,F,SI1,59.005054,54.02451,4.764707,4.768282,2.8304129,less than 950.0
0.7191977,Good,D,SI2,60.092045,57.007454,5.826383,5.822094,3.4971032,between 950.0 and 2401.0
0.47027266,Good,F,IF,63.83022,54.974937,4.929256,4.9122853,3.176057,less than 950.0
0.65796787,Good,F,SI2,65.10229,56.000736,5.423794,5.3902173,3.5329576,between 950.0 and 2401.0
0.55177796,Good,I,SI1,64.06667,58.064156,5.130215,5.125924,3.2908087,between 950.0 and 2401.0
1.1542451,Good,F,I1,64.12874,58.948807,6.678728,6.6441584,4.261379,between 2401.0 and 5324.25
0.89286554,Good,E,VS1,61.75427,60.992992,6.180014,6.215108,3.855979,between 2401.0 and 5324.25
0.6332876,Good,F,VS2,62.623615,56.007957,5.43898,5.4988766,3.4324453,between 950.0 and 2401.0
0.5174411,Good,E,IF,60.44301,58.08367,5.1089664,5.117861,3.1195748,between 950.0 and 2401.0
0.30273813,Ideal,E,SI2,62.44399,55.039513,4.284347,4.175531,2.665212,less than 950.0
0.96666604,Very Good,H,VS1,62.91969,59.029057,6.416295,6.3546233,4.0228515,between 2401.0 and 5324.25
1.0945449,Good,I,SI2,63.944153,56.01118,6.495238,6.5308065,4.1604867,between 2401.0 and 5324.25
0.3609814,Premium,I,VS2,62.99826,59.00708,4.5472956,4.5806985,2.870449,less than 950.0
0.5879087,Very Good,E,SI2,61.11893,59.051464,5.3876796,5.4437995,3.3048527,between 950.0 and 2401.0
0.1699418,Very Good,F,SI2,63.710777,56.977364,3.5722444,3.605943,2.2849367,less than 950.0
0.58121496,Ideal,G,VVS1,61.255306,55.032234,5.3647685,5.3885784,3.2942004,between 950.0 and 2401.0
0.44972557,Very Good,E,SI1,62.93328,56.96728,4.838028,4.8580317,3.0584714,between 950.0 and 2401.0
1.0711639,Good,G,VS1,63.886227,57.940125,6.4799023,6.489678,4.1566887,greater than 5324.25
0.28351438,Premium,E,SI1,61.613144,56.98515,4.2296357,4.1998997,2.5940127,less than 950.0
0.33773604,Fair,F,IF,65.75298,59.986477,4.361683,4.3546834,2.8289394,between 950.0 and 2401.0
0.9362612,Very Good,E,SI1,61.778923,56.987076,6.3323483,6.3825965,3.9260614,between 2401.0 and 5324.25
0.48331577,Ideal,D,VS2,61.89668,56.94635,4.99617,5.05655,3.110264,between 950.0 and 2401.0
0.9268024,Very Good,G,IF,62.371273,58.05137,6.294878,6.2618933,3.9416285,between 2401.0 and 5324.25
0.3134594,Very Good,G,SI2,62.32754,59.9614,4.3430057,4.3910675,2.721388,less than 950.0
1.9593397,Good,D,SI1,64.68352,57.8358,7.87936,7.834605,5.064575,greater than 5324.25
1.6029509,Very Good,F,VS2,60.974586,60.04854,7.555447,7.598853,4.562763,greater than 5324.25
0.38714918,Good,D,VS2,63.941017,57.939754,4.543803,4.5619636,2.9232786,less than 950.0
0.33711982,Good,J,VS1,63.259853,55.032494,4.391199,4.385906,2.789146,less than 950.0
0.61566997,Premium,D,SI2,61.93999,55.010822,5.4308295,5.467537,3.3614585,between 950.0 and 2401.0
