F1,F2,F3,F4,F5,F6,F7,F8,F9,RMSD
9061.23,2948.19,0.2992,91.235,1245893.12,126.421,3715.81,24.0,35.6941,less than 2.305
11856.9,4282.69,0.3835,132.465,1722014.591,195.349,4532.17,96.0,32.1597,greater than 13.379
7553.79,1628.31,0.2189,60.678,961829.212,83.193,2974.21,17.0,37.8931,between 5.03 and 13.379
14162.2,5329.44,0.3562,204.679,1965168.235,245.987,5225.12,107.0,27.4952,greater than 13.379
10394.5,3441.66,0.3283,110.378,1487603.451,153.981,4136.44,51.0,34.4198,between 2.305 and 5.03
9682.5,2869.22,0.2965,97.425,1346315.113,141.592,3815.26,26.0,35.2219,less than 2.305
13241.1,4464.95,0.3138,163.215,1861036.475,206.739,4756.38,110.0,30.6582,greater than 13.379
8276.64,2034.25,0.2519,73.142,1131876.849,108.141,3603.95,22.0,36.1794,between 2.305 and 5.03
10062.9,3077.24,0.3033,108.195,1433915.492,162.351,3892.11,11.0,34.3959,greater than 13.379
12015.6,3614.41,0.2593,125.649,1655097.141,172.431,4455.34,92.0,31.9643,between 2.305 and 5.03
9857.38,2706.55,0.2759,99.271,1382014.911,151.819,3869.25,46.0,34.0593,between 2.305 and 5.03
7342.39,1984.29,0.2335,64.879,1004522.662,94.509,3293.89,28.0,38.4519,less than 2.305
15085.8,5691.33,0.3421,188.831,2148439.883,263.275,5337.51,104.0,26.7341,between 5.03 and 13.379
8912.61,2559.11,0.2825,85.135,1262542.799,135.781,3682.41,21.0,35.6447,between 2.305 and 5.03
11361.4,3533.27,0.3011,140.699,1585337.171,192.699,4196.14,97.0,32.3699,greater than 13.379
13783.3,4849.82,0.3258,207.304,1944151.981,238.891,5021.29,115.0,29.4614,between 2.305 and 5.03
10565.9,3244.85,0.3103,113.781,1481157.849,160.721,4043.57,53.0,33.7739,between 5.03 and 13.379
9399.59,2807.49,0.2899,98.311,1321916.212,149.349,3816.53,25.0,34.6239,less than 2.305
12395.1,3931.94,0.2649,152.609,1731917.698,208.531,4594.17,101.0,30.9115,greater than 13.379
14526.4,5402.67,0.3382,223.797,2063948.921,264.899,5499.29,119.0,27.2535,greater than 13.379
9913.25,3007.42,0.3057,105.375,1416558.351,158.427,3976.32,49.0,34.1963,between 2.305 and 5.03
11215.3,3472.44,0.2822,129.985,1603491.542,187.761,4343.19,93.0,32.5378,greater than 13.379
13393.5,4595.25,0.3291,195.612,1904193.501,233.195,4996.27,112.0,29.8299,less than 2.305
8790.38,2469.51,0.2534,80.496,1229408.339,129.365,3655.93,20.0,35.9271,between 2.305 and 5.03
10177.8,3155.66,0.3205,109.489,1451552.899,162.191,4022.51,52.0,33.6692,between 2.305 and 5.03
14398.6,5243.49,0.3414,217.331,2034197.982,251.939,5256.33,108.0,27.9339,greater than 13.379
12695.9,4029.69,0.3109,154.291,1764207.201,203.501,4573.59,100.0,31.4395,between 5.03 and 13.379
