F1,F2,F3,F4,F5,F6,F7,F8,F9,RMSD
10435.17,2611.29,0.31441,83.8546,1481216.935,141.761,4231.39,29.0,36.4408,between 2.305 and 5.03
9658.21,2469.83,0.29119,70.4691,1289213.189,125.341,3678.59,44.0,38.2132,between 2.305 and 5.03
11427.55,3291.45,0.32115,108.351,1621154.81,169.851,4769.26,67.0,30.8772,between 2.305 and 5.03
13567.19,4086.79,0.34425,149.299,1914207.351,207.831,5421.85,88.0,24.8319,greater than 13.379
10013.49,2803.46,0.29522,96.5504,1394156.419,154.209,4025.38,32.0,35.5513,between 2.305 and 5.03
12783.31,3819.99,0.33598,118.061,1798745.628,198.417,5138.54,58.0,29.4615,greater than 13.379
8549.15,2391.27,0.26535,64.5352,1193333.871,112.492,3649.67,25.0,40.2628,between 5.03 and 13.379
11651.28,3042.89,0.28342,85.3281,1597440.982,145.678,4719.11,49.0,33.4675,between 2.305 and 5.03
14315.51,4453.22,0.36241,170.241,2045091.512,223.458,5799.94,97.0,23.1492,between 2.305 and 5.03
9685.94,2551.38,0.24621,78.3168,1323966.499,135.945,3784.33,39.0,37.9385,between 2.305 and 5.03
13724.47,4319.19,0.34959,157.412,1961531.351,215.395,5245.29,74.0,26.7412,greater than 13.379
10218.24,2879.94,0.31151,94.6916,1434861.422,159.321,4089.19,44.0,32.6419,between 2.305 and 5.03
11344.29,3219.62,0.29719,112.591,1602015.139,172.819,4693.57,59.0,30.9754,between 2.305 and 5.03
10749.63,2979.55,0.32479,99.4354,1502443.811,155.628,4403.29,35.0,33.9017,between 2.305 and 5.03
12143.82,3641.95,0.33625,129.441,1727432.419,189.499,5072.49,62.0,28.3901,greater than 13.379
13048.64,4059.65,0.35459,154.631,1863442.628,206.191,5398.19,81.0,25.6411,between 2.305 and 5.03
9842.19,2707.64,0.28053,88.1817,1369984.982,149.401,3947.88,50.0,36.1912,between 2.305 and 5.03
11875.77,3528.35,0.31381,123.499,1673642.958,184.853,4864.26,69.0,29.8734,between 2.305 and 5.03
10562.93,2945.63,0.30017,96.8765,1476696.375,157.809,4281.65,40.0,34.5491,between 2.305 and 5.03
12314.79,3699.11,0.32919,136.253,1758903.061,201.449,5033.96,64.0,27.7429,between 2.305 and 5.03
11245.17,3179.82,0.28418,105.339,1572218.781,165.351,4593.29,56.0,32.1395,between 2.305 and 5.03
10151.32,2831.94,0.29235,93.4367,1417602.219,154.631,4144.14,47.0,34.9049,between 2.305 and 5.03
13658.72,4224.25,0.35823,159.742,1947019.829,217.819,5556.41,85.0,24.5015,between 2.305 and 5.03
9592.31,2515.75,0.25851,80.6439,1309855.422,138.495,3829.92,34.0,37.4119,between 2.305 and 5.03
12895.48,3968.99,0.34189,148.429,1840610.641,205.811,5309.64,65.0,26.1582,between 2.305 and 5.03
11546.39,3359.51,0.30641,114.821,1632556.945,174.941,4856.61,60.0,30.9395,between 2.305 and 5.03
10395.44,2913.26,0.28549,95.5014,1457595.781,157.199,4207.92,51.0,33.9114,between 2.305 and 5.03
13136.49,4113.55,0.35159,155.831,1884261.641,212.241,5456.62,79.0,25.9829,between 2.305 and 5.03
12288.58,3686.95,0.32681,134.197,1751291.785,197.355,5085.84,68.0,28.3942,between 2.305 and 5.03
11028.56,3104.99,0.29059,102.381,1542011.104,163.531,4519.14,54.0,32.5511,between 2.305 and 5.03
9911.41,2752.64,0.27935,89.4129,1379859.583,152.051,4029.95,48.0,35.4545,between 2.305 and 5.03
13934.93,4399.58,0.36359,165.859,2006658.551,223.949,5674.93,87.0,24.2479,greater than 13.379
12519.42,3836.23,0.33835,143.619,1795637.398,207.421,5206.85,72.0,27.2922,between 2.305 and 5.03
10818.19,3024.37,0.29681,98.7374,1512356.461,162.729,4444.39,55.0,33.6196,between 2.305 and 5.03
9631.88,2526.19,0.25321,79.1819,1321514.502,139.499,3833.33,38.0,37.6993,between 2.305 and 5.03
13263.18,4146.48,0.35334,156.299,1901813.201,214.011,5532.75,80.0,25.7379,between 2.305 and 5.03
11733.91,3465.94,0.31319,120.761,1658572.761,183.539,4994.42,65.0,29.9707,between 2.305 and 5.03
10559.22,2963.49,0.28789,97.2873,1481511.171,160.089,4263.25,52.0,34.4118,between 2.305 and 5.03
12936.84,4055.66,0.35044,152.661,1865650.938,212.189,5471.51,81.0,26.0691,between 2.305 and 5.03
11492.88,3309.28,0.30579,113.299,1629510.231,174.801,4895.91,61.0,31.1915,between 2.305 and 5.03
10247.66,2855.51,0.28221,92.9219,1434910.158,155.949,4149.24,50.0,34.7845,between 2.305 and 5.03
13885.49,4358.33,0.36229,164.201,1995960.211,221.695,5656.67,86.0,24.4453,between 2.305 and 5.03
12444.86,3772.64,0.33581,141.761,1789416.729,206.629,5203.56,73.0,27.6482,between 2.305 and 5.03
10937.15,3072.93,0.29441,101.521,1534121.352,164.321,4513.67,57.0,33.4811,between 2.305 and 5.03
9661.85,2554.85,0.25859,81.3395,1335015.231,141.459,3886.19,42.0,37.4699,between 2.305 and 5.03
13072.41,4132.85,0.35519,157.281,1904326.158,216.511,5584.95,84.0,25.8342,between 2.305 and 5.03
