longitude,latitude,housingMedianAge,totalRooms,totalBedrooms,population,households,medianIncome,medianHouseValue
-118.59,34.23,18,2387.0,495.0,1211.0,452.0,2.9173,between 119600.0 and 179700.0
-121.98,37.55,29,4821.0,1083.0,2734.0,752.0,4.2356,greater than 264725.0
-117.49,33.29,22,1756.0,403.0,939.0,324.0,1.8756,less than 119600.0
-118.81,34.01,15,2785.0,658.0,1658.0,596.0,3.4638,between 179700.0 and 264725.0
-122.19,37.69,38,1948.0,491.0,1419.0,469.0,2.5469,less than 119600.0
-117.87,33.59,20,3956.0,826.0,2563.0,812.0,5.3923,greater than 264725.0
-119.04,36.85,25,1814.0,451.0,1429.0,512.0,2.1982,between 119600.0 and 179700.0
-118.27,33.85,32,2663.0,691.0,2087.0,654.0,4.1365,greater than 264725.0
-117.22,32.86,14,1549.0,341.0,931.0,373.0,1.7632,less than 119600.0
-122.42,37.92,48,1068.0,256.0,848.0,253.0,1.4219,less than 119600.0
-118.55,34.13,17,2231.0,521.0,1639.0,512.0,3.1987,between 179700.0 and 264725.0
-117.99,33.48,26,1839.0,457.0,1258.0,395.0,2.9568,less than 119600.0
-119.77,37.29,30,2459.0,532.0,1753.0,570.0,3.9729,between 119600.0 and 179700.0
-122.01,37.52,42,2997.0,726.0,2394.0,736.0,4.6792,greater than 264725.0
-117.35,33.01,23,2011.0,419.0,1019.0,375.0,2.5487,less than 119600.0
-118.44,34.05,24,2589.0,649.0,2118.0,642.0,5.1421,greater than 264725.0
-118.17,33.9,35,2708.0,672.0,1591.0,611.0,3.4251,between 179700.0 and 264725.0
-121.69,38.51,18,1491.0,354.0,939.0,322.0,2.1354,less than 119600.0
-122.33,37.88,45,2767.0,665.0,1921.0,676.0,4.2159,greater than 264725.0
-117.93,33.63,28,2963.0,679.0,2212.0,733.0,5.9563,greater than 264725.0
-118.78,34.03,12,1646.0,342.0,941.0,313.0,1.9213,less than 119600.0
-119.35,36.99,32,2343.0,573.0,1758.0,557.0,4.4567,between 179700.0 and 264725.0
-117.39,33.15,22,2119.0,409.0,1205.0,419.0,3.1742,less than 119600.0
-118.58,34.19,19,2469.0,542.0,1564.0,494.0,2.9149,between 119600.0 and 179700.0
-122.25,37.83,39,2426.0,596.0,1886.0,623.0,3.8271,greater than 264725.0
-117.79,33.52,16,2679.0,576.0,1834.0,609.0,5.0218,between 179700.0 and 264725.0
-118.34,34.04,26,3051.0,697.0,2259.0,727.0,6.3961,greater than 264725.0
-119.58,37.19,29,2752.0,649.0,2102.0,689.0,4.8739,greater than 264725.0
-118.22,33.89,25,1944.0,457.0,1399.0,465.0,2.6412,less than 119600.0
-122.12,37.67,43,1763.0,391.0,1174.0,381.0,2.2925,less than 119600.0
-117.51,33.27,20,2446.0,529.0,1789.0,585.0,3.6559,between 179700.0 and 264725.0
-118.98,34.11,14,1818.0,384.0,1187.0,394.0,2.1911,less than 119600.0
