longitude,latitude,housingMedianAge,totalRooms,totalBedrooms,population,households,medianIncome,medianHouseValue
-118.43,34.23,18,2014.0,341.0,1071.0,436.0,2.914,less than 119600.0
-117.91,33.85,25,4312.0,942.0,2046.0,696.0,5.129,between 179700.0 and 264725.0
-122.29,37.42,30,1784.0,357.0,985.0,323.0,3.059,less than 119600.0
-115.85,32.95,22,3156.0,681.0,1432.0,564.0,4.281,between 119600.0 and 179700.0
-121.99,38.23,48,2398.0,421.0,1147.0,378.0,2.854,less than 119600.0
-118.17,34.59,11,4821.0,1034.0,2451.0,814.0,6.204,between 179700.0 and 264725.0
-117.53,33.67,7,1367.0,236.0,631.0,253.0,3.935,less than 119600.0
-122.15,37.79,43,2108.0,388.0,1018.0,326.0,2.488,less than 119600.0
-118.25,34.01,16,2938.0,529.0,1341.0,456.0,5.463,between 179700.0 and 264725.0
-117.81,34.17,24,4028.0,743.0,1934.0,666.0,4.926,between 119600.0 and 179700.0
-121.95,38.59,9,2789.0,475.0,1296.0,412.0,6.649,between 179700.0 and 264725.0
-117.39,33.51,15,1912.0,314.0,881.0,295.0,3.448,less than 119600.0
-118.03,34.44,19,2521.0,448.0,1189.0,404.0,5.085,between 119600.0 and 179700.0
-122.31,37.65,27,1811.0,343.0,959.0,308.0,2.624,less than 119600.0
-117.55,33.63,8,1232.0,213.0,562.0,226.0,4.083,less than 119600.0
-118.35,34.27,20,3063.0,564.0,1455.0,488.0,5.501,between 179700.0 and 264725.0
